,Corrective Action,PLC,Model,fault,diagnostic
215,create a new simulation via simulation -> new plc. the next time you run the last simulation the latest new simulation will be loaded without error message.,siemen,step 7,internal error: valid pointer.,plcsim attempt made load last simulation plcsim via menu item simulation -> last simulation.
216,terminate application and restart,siemen,step 7,internal error system,project might damag
217,copy/move projid.pro.,siemen,step 7,repairable error system programming. function impl,projid.pro might possibly exist dearchiving.
218,save as ... with consistency check or recreate the project,siemen,step 7,"repairable internal system error refer file ""symlist.dbf"".",project might damaged. computer might crash
219,"before reorganizing, close all the applications in the project.",siemen,step 7,object ... cannot edited currently opened another application another user.,"message appears start ""file > save as..."" function together ""with reorganization (slowly)"" option still applications open (e.g. symbol table) project reorganized."
220,delete the xutil directory in the project path,siemen,step 7,version 513 objekt xr00001 compatible refer installed software.,legacy v2 xutil catalog
221,make sure that you have the appropriate rights to access the drive or directory where the data is located. do the virus scanning offline (i.e. at times when you are not working on your step 7 project) or disable the virus scanner on your computer.,siemen,step 7,data read.,"might data, example, project library. cause might write rights directory drive data located."
222,save the modifications made in a different application and make sure that no other user processes this data at the time in question.,siemen,step 7,data read.,data processed different application different user.
223,"1. mark the project in the explorer, where is saved in the folder and click on the right mouse botton.
2. open in the context menu the ""properties"" and select ""security"".
3. here you can allow the ""read"" and other functions by ""permissions for administrators"".
4. click after on ""apply"" and ""ok"".",siemen,step 7,data read-only.,"copied data backup project cd onto hard disk cannot open project. reason files project attribute ""write-protected"" set."
224,"remove the write-protection from all directories that have to do with the project.
create space on the disk
delete s7apromx.txt in the root directory of the project.",siemen,step 7,rights write missing directory.,"directory s7p file located write-protected. enough space disk < 100 bytes step 7 v4.x concerned, might file deleted, still specifies project still write-protected drive."
225,"first of all check the versions of all the options packages installed on your computer which are required for editing the project. you may need to install one or other update (service pack) or upgrade (new version). then make a copy of your project with ""file > save as..."" and the option ""with reorganization (slow)"".",siemen,step 7,problems offline folder.,message may due fact project dearchived computer edited options package whose version longer compatible current step 7 version.
226,install basic authorization,siemen,step 7,authorization step 7 found.,basic authorization installed. error occurs attempting start installed options package. probably step 7 authorized mini.
227,"install the options authorization from the authorization floppy disk included in the delivery package. if you have lost the authorization (e.g. through a fault on the hard disk), you can install the emergency authorization to be able continue working for a limited period of time. you must then procure a replacement for the lost authorization during this limited time.",siemen,step 7,authorization optional package found.,user rights (authorization) found options software drive c:.
228,to operate s7 software under nt you need at least main user rights.,siemen,step 7,authorization optional package found.,win nt: insufficient access rights.
229,"start the service ""server"" in the control panel.",siemen,step 7,access deni,"repeatedly loaded program sps possible load program again, also new start"
