,Fault,Diagnostic,Corrective Action,PLC,Model
191,a mismatched cpu type or an internal structural error has been detected during block analysis.,"when evaluating the blocks, an incompatible cpu type or internal structure error was detected.",please check whether the type (mlfb) of the cpu that you have configured matches the cpu type onto which you are loading. match the cpu types and reload. please check that you are using the latest version of the configuration software (with the latest service pack).,Siemens,STEP 7
192,d204: the rules of coordinations were broken.,"when attempting to load the system data, there was still a variable table open online.",close the variable table and retransfer the system data.,Siemens,STEP 7
193,the communication software (s7dos) and the interface module (cp) have not the same protocol.,the customer has a step 7 v5+sp1 + new pdm and a cp 443-5 ext > v2.7. the new protocol rpc 7 that is used for data record routing between the cp and s7dos. unfortunately versions up to version v2.7 of the cp do not have this function.,upgrade cp 443-5 to a version >v2.7.,Siemens,STEP 7
194,the communication software (s7dos) and the interface module (cp) have not the same protocol.,"the user is implementing the right components step 7 v5 + sp2 + pdm, but has a cp that does not include the dsgw.",check the configuration and replace the cp implemented with a different cp that includes this function.,Siemens,STEP 7
195,compiler information: handle not valid.,when monitoring an empty network with the lad/fbd/stl editor.,delete empty network.,Siemens,STEP 7
196,compiler information: element not found.,the element could not be found in the referenced database.,check the spelling of your search key and your database reference.,Siemens,STEP 7
197,reference data could not be generated,error in the database,"the project can be correct+d191ed with ""save as with reorganization"".",Siemens,STEP 7
198,the moduls in the comand structure are protected and can not be generated.,one or more direct or indirect reference module is know how protected and can not be generated,"please deactivate the option ""include reference blocks"" in the menue ""generate source ..."". you have to create the list of the moduls via manual without the protected moduls.",Siemens,STEP 7
199,at least one symbol assignment has changed,if you copy a symbolically addressed block from the library of an s7 project into another project and after you open the block. in the original project you generate an stl source from the block.,"1. please make sure that the source is generated with the setting ""absolute"". 2. copy the source into the new project; the project can be configured as symbolically addressed. 3. now compile the source and so generate the block. after that you can adapt the symbols as required without the behavior described above occurring.",Siemens,STEP 7
200,block call invalid because interface was changed in the meantime.,"with step7 v5.0 the instance db of the db type is entered in the symbol list for an fb call. this is no longer permitted with step7 v5.0. in this case the ""update call"" function doesn't work.",enter the instance db of the fb type in the symbol list.,Siemens,STEP 7
201,f ze %2!06d! sp %3!03d!: no plc type description found for called or addressed block %4.,the block called is not available.,"the block is to be compiled before the call.
in the case of sfb/sfc calls, please copy into your offline database with the simatic manager (block container).
if the sfb/sfc is not available on the cpu addressed, then it should not be called",Siemens,STEP 7
202,the block %4 that was called/used is protected or created by s7-graph and cannot be generated.,you are trying to generate a know_how_protect block into an stl source.,the block named is protected and cannot be generated into an stl source.,Siemens,STEP 7
203,"the declaration range of your formal parameter does not match the declaration range of the actual parameter, for example, no output paramater from the actual end can be assigned to an input parameter from the formal end.","it is not allowed, that an out variable of the calling function block is parameterized with the in variable of the function block called.","we recommend first saving the data temporarily on a static variable. in a further network this static variable is parameterized with the in variable of the fb called. the output variable of the higher-level block, the static variable and the input variable of the lower-level block must be of the same data type.",Siemens,STEP 7
